batch_size,degree,gamma,k_fold,lambda,max_iters,num_batches,seed,avg_mse_te,avg_mse_tr,avg_|g|_te,avg_|g|_tr
1,4,1e-07,4,1e-07,1000,1,0,0.4925413359613797,0.49260263866099513,38.82310443753627,38.979794953315135
1,5,1e-07,4,1e-07,1000,1,0,30706357.175137274,31561120.05150685,11054468.594479559,11141912.872136395
1,5,1e-09,4,1e-07,1000,1,0,0.49734171287728823,0.4973730687980405,149.44866656691232,149.08690476475755
