degree,k_fold,lambda,seed,avg_mse_te,avg_mse_tr
8,4,1e-07,0,0.34084449894995156,0.34067461306443514
8,4,1e-07,0,0.34084449894995156,0.34067461306443514
8,4,1e-06,0,0.3408443410297143,0.340674629300801
8,4,1e-05,0,0.34084385506719095,0.34067508788563056
8,4,0.0001,0,0.34084380286331895,0.3406772277093287
8,4,0.001,0,0.3408838388927876,0.3407256491375024
9,4,1e-07,0,0.34072275446149203,0.34053906553090674
9,4,1e-06,0,0.3407215569645279,0.3405391901433489
9,4,1e-05,0,0.3407195133625744,0.34054006167239814
9,4,0.0001,0,0.3407192101277622,0.34054259158556216
9,4,0.001,0,0.3407812967358319,0.34061377932954445
10,4,1e-07,0,0.3405782621534439,0.34038289226644614
10,4,1e-06,0,0.340584143019397,0.3403909329541104
10,4,1e-05,0,0.3405898477527131,0.340399957763696
10,4,0.0001,0,0.34058985788186247,0.34040504055211873
10,4,0.001,0,0.3406897204020206,0.3405171782623066
11,4,1e-07,0,0.34053708717791886,0.3403246123377355
11,4,1e-06,0,0.34055405721489507,0.340343165103565
11,4,1e-05,0,0.3405617318904065,0.34035393888567167
11,4,0.0001,0,0.34056420274238686,0.3403638523984119
11,4,0.001,0,0.34069359902568785,0.3405087379273243
12,4,1e-07,0,0.3405243834741678,0.34029817232631954
12,4,1e-06,0,0.3405365583345863,0.340311796761218
12,4,1e-05,0,0.3405443100301767,0.3403236448720761
12,4,0.0001,0,0.3405511903913614,0.3403400998763517
12,4,0.001,0,0.3406805089551107,0.3404869432714239
13,4,1e-07,0,0.34050948910662876,0.340274477701822
13,4,1e-06,0,0.340523458414874,0.34029052039803254
13,4,1e-05,0,0.340541402361102,0.34031421684005764
13,4,0.0001,0,0.3405506745734565,0.34033547165757944
13,4,0.001,0,0.3406606094401716,0.34046338573264573
8,4,1e-10,0,0.3408445199476115,0.34067461286668366
8,4,1e-10,0,0.3408445199476115,0.34067461286668366
8,4,1e-09,0,0.34084451975530494,0.34067461286670364
8,4,1e-08,0,0.340844517830997,0.3406746128687
9,4,1e-10,0,0.3407229633282646,0.34053906304423925
9,4,1e-09,0,0.34072296132944824,0.34053906304450743
9,4,1e-08,0,0.34072294157028876,0.34053906307122117
10,4,1e-10,0,0.34057822175116764,0.34038232477057273
10,4,1e-09,0,0.3405782166450939,0.34038232485301156
10,4,1e-08,0,0.3405781705999889,0.34038233277104263
11,4,1e-10,0,0.3405322004880601,0.3403192200742313
11,4,1e-09,0,0.3405321938985913,0.34031922202101184
11,4,1e-08,0,0.34053230477552504,0.34031938726586003
12,4,1e-10,0,0.3405208166066247,0.3402927084174288
12,4,1e-09,0,0.3405207428509636,0.34029271007085965
12,4,1e-08,0,0.3405203550447072,0.3402929070195845
13,4,1e-10,0,0.340489393627042,0.34025089606056175
13,4,1e-09,0,0.3404886378471631,0.3402511085763278
13,4,1e-08,0,0.34049951782579424,0.3402626450688716
14,4,1e-10,0,0.3404607695704128,0.3402177033370503
14,4,1e-09,0,0.34046324190957994,0.3402253338863998
14,4,1e-08,0,0.3404828056334293,0.3402437310327827
14,4,1e-07,0,0.34049650355532396,0.3402588892857922
14,4,1e-06,0,0.34052269628049114,0.34029007501157316
14,4,1e-05,0,0.3405329376576296,0.3403080778411275
14,4,0.0001,0,0.3405452138726846,0.34032728970269605
14,4,0.001,0,0.3407348480950412,0.3405018156844247
15,4,1e-10,0,0.3404702471105959,0.3402125994570809
15,4,1e-09,0,0.34048947114200373,0.3402296260149684
15,4,1e-08,0,0.340494544442048,0.34023779703981555
15,4,1e-07,0,0.3405059041435391,0.34024822594075077
15,4,1e-06,0,0.34051321117513655,0.34025889562121137
15,4,1e-05,0,0.3405310609201593,0.34028994914647737
15,4,0.0001,0,0.3408071304184751,0.3406664123288365
15,4,0.001,0,0.34066923213428396,0.3404762558517206
16,4,1e-10,0,0.3524607045507929,0.3523962424407168
16,4,1e-09,0,0.35067723652892874,0.35057281580068034
16,4,1e-08,0,0.3519326921330197,0.3518354406809545
16,4,1e-07,0,0.40013098720213,0.3982744732116122
16,4,1e-06,0,0.34853915295670457,0.3483722820285552
16,4,1e-05,0,0.3481065216816059,0.3475640535126535
16,4,0.0001,0,0.34056029220844897,0.34034229366799906
