degree,k_fold,lambda,seed,avg_mse_te,avg_mse_tr
16,4,0.001,0,0.3424312953522726,0.3423435830048464
17,4,1e-10,0,0.346338125809785,0.34615040214079773
17,4,1e-09,0,0.34620773200414867,0.3460383521623744
17,4,1e-08,0,0.3464193951876835,0.34622178359591943
17,4,1e-07,0,5.3278323929594515,5.432030194467866
17,4,1e-06,0,0.4137291717503906,0.41509420402914315
17,4,1e-05,0,0.3658140403861633,0.3663551899891194
17,4,0.0001,0,0.3424309666345948,0.34211704272340404
17,4,0.001,0,0.3421833058451131,0.3419204065630286
18,4,1e-10,0,0.3423566536034932,0.3422377657533756
18,4,1e-09,0,0.3422998270222699,0.34216742489516044
18,4,1e-08,0,0.3423696992034696,0.3422264530924367
18,4,1e-07,0,0.34146166640395664,0.3412583999092751
18,4,1e-06,0,0.3437743862875615,0.3437948402917216
18,4,1e-05,0,0.3515063235548761,0.35086633482255836
18,4,0.0001,0,0.34063081411878593,0.3403551745962988
18,4,0.001,0,0.34110174263123494,0.34085825954879573
19,4,1e-10,0,0.3620579279813787,0.3614944743987564
19,4,1e-09,0,0.3621763671614961,0.3616424686994285
19,4,1e-08,0,0.3611104761662443,0.36061032921576464
19,4,1e-07,0,0.35090911207819914,0.35059324634621125
19,4,1e-06,0,0.343106014307537,0.3428337125305278
19,4,1e-05,0,0.3600541864472744,0.36007195771891287
19,4,0.0001,0,0.36081675615651876,0.360766090028892
19,4,0.001,0,0.3480261390563676,0.34793818999957377
8,4,1e-12,0,0.34084451996909515,0.34067461286668344
8,4,1e-12,0,0.34084451996909515,0.34067461286668344
8,4,1e-11,0,0.3408445199665514,0.34067461286668344
9,4,1e-12,0,0.34072296354206133,0.34053906304423676
9,4,1e-11,0,0.34072296351425213,0.34053906304423687
10,4,1e-12,0,0.34057822247351327,0.3403823247697615
10,4,1e-11,0,0.3405782223537604,0.34038232476975716
11,4,1e-12,0,0.34053219836037785,0.34031922005394066
11,4,1e-11,0,0.34053220164400455,0.34031922005275794
12,4,1e-12,0,0.34052079976321387,0.34029270805981326
12,4,1e-11,0,0.34052079593452306,0.34029270829123826
13,4,1e-12,0,0.3404886050186182,0.3402502088497441
13,4,1e-11,0,0.34048912037252127,0.34025049768134913
14,4,1e-12,0,0.3404611381772655,0.34021751510114007
14,4,1e-11,0,0.3404607487649751,0.34021756044730195
15,4,1e-12,0,0.3404708441151189,0.34021208487499144
15,4,1e-11,0,0.34047047334476777,0.3402118651205548
16,4,1e-12,0,0.3528010666250119,0.3527258701171375
16,4,1e-11,0,0.3528585571756095,0.3527899174435694
17,4,1e-12,0,0.3475676906659475,0.3473008206232652
17,4,1e-11,0,0.3468940881410006,0.34665359445293353
18,4,1e-12,0,0.3459307607474965,0.34587383781761394
18,4,1e-11,0,0.3427148183035786,0.34262486243103485
19,4,1e-12,0,0.35912060723401795,0.3584913882828295
19,4,1e-11,0,0.36152207613866555,0.3608958822920869
8,4,1e-15,0,0.34084451996905496,0.3406746128666833
8,4,1e-15,0,0.34084451996905496,0.3406746128666833
8,4,2.1544346900318866e-14,0,0.34084451996934684,0.3406746128666834
8,4,4.641588833612772e-13,0,0.3408445199691062,0.3406746128666834
8,4,2.1544346900318779e-10,0,0.34084451992328824,0.34067461286668443
8,4,4.641588833612773e-09,0,0.3408445189755246,0.3406746128671183
8,4,2.154434690031878e-06,0,0.34084419861519155,0.34067467447003896
8,4,4.641588833612772e-05,0,0.34084364560489433,0.34067611429754685
9,4,1e-15,0,0.34072296353574644,0.3405390630442372
9,4,2.1544346900318866e-14,0,0.3407229635392833,0.34053906304423676
9,4,4.641588833612772e-13,0,0.3407229635244923,0.34053906304423676
9,4,2.1544346900318779e-10,0,0.34072296308501954,0.3405390630442482
9,4,4.641588833612773e-09,0,0.34072295331189867,0.3405390630500901
9,4,2.154434690031878e-06,0,0.3407208183462225,0.3405393842869651
9,4,4.641588833612772e-05,0,0.3407188085714427,0.34054104862436807
10,4,1e-15,0,0.3405782221329566,0.3403823247697624
10,4,2.1544346900318866e-14,0,0.3405782222986326,0.34038232476976515
10,4,4.641588833612772e-13,0,0.3405782223772454,0.34038232476976954
10,4,2.1544346900318779e-10,0,0.3405782209607886,0.3403823247736297
10,4,4.641588833612773e-09,0,0.34057819616154195,0.3403823265320512
10,4,2.154434690031878e-06,0,0.34058709259355824,0.34039499339268653
10,4,4.641588833612772e-05,0,0.3405893852227774,0.34040230517481157
11,4,1e-15,0,0.34053220112009563,0.34031922005243914
11,4,2.1544346900318866e-14,0,0.34053219868214885,0.34031922005478166
11,4,4.641588833612772e-13,0,0.34053219948003716,0.34031922005446186
11,4,2.1544346900318779e-10,0,0.34053220227038045,0.3403192201516078
11,4,4.641588833612773e-09,0,0.34053220735974626,0.34031925951339964
11,4,2.154434690031878e-06,0,0.3405585328297207,0.3403484095499808
11,4,4.641588833612772e-05,0,0.3405613280216633,0.3403577500708721
12,4,1e-15,0,0.34052088747206055,0.3402927099439427
12,4,2.1544346900318866e-14,0,0.3405208079300992,0.34029270794987937
12,4,4.641588833612772e-13,0,0.3405207949078333,0.3402927080011758
12,4,2.1544346900318779e-10,0,0.3405207920155543,0.34029270809225975
12,4,4.641588833612773e-09,0,0.3405204855930293,0.3402927577413304
12,4,2.154434690031878e-06,0,0.3405394461322673,0.3403156321626823
12,4,4.641588833612772e-05,0,0.34054673680824743,0.3403315979976526
13,4,1e-15,0,0.34048834783979687,0.3402511689675137
13,4,2.1544346900318866e-14,0,0.3404886963322054,0.34025029635382986
13,4,4.641588833612772e-13,0,0.3404886705862015,0.34025027036877253
13,4,2.1544346900318779e-10,0,0.3404880703201175,0.3402502186548414
13,4,4.641588833612773e-09,0,0.34049451133494707,0.3402570779832279
13,4,2.154434690031878e-06,0,0.3405318115292051,0.340299991774488
13,4,4.641588833612772e-05,0,0.3405453603252913,0.3403255994653828
14,4,1e-15,0,0.3404595100541094,0.34021797829204503
14,4,2.1544346900318866e-14,0,0.3404610984006831,0.34021756015735294
14,4,4.641588833612772e-13,0,0.34046094211427386,0.3402175206472733
14,4,2.1544346900318779e-10,0,0.34046086285373667,0.34021823919032457
14,4,4.641588833612773e-09,0,0.3404751043918452,0.3402355212989785
14,4,2.154434690031878e-06,0,0.34052139622341476,0.34028945152981915
14,4,4.641588833612772e-05,0,0.34053927643025095,0.34031420344193924
15,4,1e-15,0,0.34057452738450855,0.3402889629730207
15,4,2.1544346900318866e-14,0,0.34047094335223593,0.34021305431804316
15,4,4.641588833612772e-13,0,0.3404711350828488,0.34021232273381086
15,4,2.1544346900318779e-10,0,0.34046975603832963,0.3402129411403615
15,4,4.641588833612773e-09,0,0.34048189321501116,0.34023250122050763
15,4,2.154434690031878e-06,0,0.34052428775071947,0.34027041295435456
15,4,4.641588833612772e-05,0,0.3405754643805546,0.34034335350509826
16,4,1e-15,0,76.70199076338001,79.26548506005508
16,4,2.1544346900318866e-14,0,0.35357703130379875,0.3535173941445926
16,4,4.641588833612772e-13,0,0.35283209154276063,0.35276104389451524
16,4,2.1544346900318779e-10,0,0.3525285841992314,0.35246113724509887
16,4,4.641588833612773e-09,0,0.3975753320607274,0.39849972018757074
16,4,2.154434690031878e-06,0,0.34380878838101336,0.34374996315296014
16,4,4.641588833612772e-05,0,0.3405990886651022,0.3403555234191451
17,4,1e-15,0,0.3420306957064911,0.34164799948829644
17,4,2.1544346900318866e-14,0,0.3451301361563676,0.34478483092979034
17,4,4.641588833612772e-13,0,0.3479373940908593,0.34766522780843606
17,4,2.1544346900318779e-10,0,0.34625963615441374,0.34607862849386345
17,4,4.641588833612773e-09,0,0.34635741854244695,0.3461804925303402
17,4,2.154434690031878e-06,0,0.3433153198513352,0.3429830798989205
17,4,4.641588833612772e-05,0,0.3474826561899535,0.34757663675369876
18,4,1e-15,0,0.34865689384496246,0.3483690728837993
18,4,2.1544346900318866e-14,0,0.3507356188253726,0.35075593713704
18,4,4.641588833612772e-13,0,0.3470683598817165,0.34701642614723616
18,4,2.1544346900318779e-10,0,0.3423496670315702,0.34222561840160526
18,4,4.641588833612773e-09,0,0.3423358854609079,0.34219532777988215
18,4,2.154434690031878e-06,0,4.538874493276398,4.411261968941348
18,4,4.641588833612772e-05,0,0.3771839130412184,0.37659535124537835
19,4,1e-15,0,0.3551598036530694,0.354848330483394
19,4,2.1544346900318866e-14,0,0.3962231368950688,0.39522005091947965
19,4,4.641588833612772e-13,0,0.366193905260356,0.3654584236072346
19,4,2.1544346900318779e-10,0,0.3619957029739036,0.3614455047056647
19,4,4.641588833612773e-09,0,0.3614101765419571,0.36089447678358555
19,4,2.154434690031878e-06,0,0.3502560847087098,0.35046989734431994
19,4,4.641588833612772e-05,0,0.370408848526734,0.37042261973085316
