batch_size,degree,gamma,k_fold,lambda,max_iters,num_batches,seed,batch_size,degree,gamma,k_fold,lambda,logistic_err,max_iters,n_err,num_batches,seed,w
2500,-2,0.01,4,0.01,3000,1,1,2500,-2,0.01,4,0.01,108517.45551679037,3000,49065,1,1,0.10554994510956132|0.4975167336160521|-0.12456650293577373|-0.3239015518935054|0.4227635954629048|-0.1317767860873516|-0.01090959876727102|-0.3923955484198938|0.3097067773913071|0.0445948547120994|-0.06308642174088198|-0.20135102415656284|-0.03432451572912496|0.2932275939975563|-0.003986520002199592|-0.3410975427361795|-0.14726088673984927|-0.47029803919884466|0.04011330205533717|0.0037035936246837646|0.14054169483785445|-0.0011357449540987275|0.043262462428015645|-0.13904081405728888|-0.03546851686999418|-0.0008005693896672167|0.22384933969744192|-0.002063150429373336|0.038678127226383564|0.030112526681877298|0.030778042022896496|0.0014312246562871941|0.0247375185723498|-0.08027886799098738|0.027323629527707137|-0.047561205387784834|0.07264248564863139|-0.0989435688185645|0.054736878624958026|0.18672131780420562|0.08607659418933879|0.2928408183821113|-0.07775511643198546|0.011395059623137782|0.012407428561545197|-0.15534973417328563|-0.017674367519770178|0.010055402584095405|0.00299340230833203|-0.03569962387972005|0.005316041401775544|0.004913543822819949|0.01914585536724791|-0.002854835758220508|0.021614285135325925|0.021732954858800415|0.024855977395212298|-0.04654071943810325|0.4398601362082785|-0.009642454978331912|-0.06521506631331232|0.015441070253064966|-0.035368333735159956|0.04642480162774492|-0.000624119694363079|-0.008824109316392858|-0.01366570745140434|0.0048376953762100374|0.005587817965089881|0.0996637002652184|-0.00488645223393314|-0.05381120361835764|-0.060604429048677355|-0.07420624628615767|0.03025521727360066|0.016799451586705236|-0.013320608250328873|0.024975614634317262|-0.09963889721334401|0.08482609730026419|0.002981477314531844|0.010072895465225377|0.11541840439038889|0.011392129793281228|-0.011023387703514633|0.02667876133970596|-0.0017972931596064038|-0.00642477752301019|-0.10376242608174524|-0.02286429406652406|0.03231830764184057|0.048505060744716055|0.08604589074926851|0.13669665502720643|0.02310346889878962|0.0015274080734025183|-0.0026359018390488135|0.07608750415034535|0.006091775778968879|-0.005204125968484512|0.28935177347561125|-0.006519644549218646|0.02052525756731655|0.07343905756628846|0.015693336579439412|-0.03084222554698447|0.006341682389449099|0.07003121999663456|-0.016671664752437074|0.0034186387967505283|0.0007724078105916385|0.022992723724439657|0.00822956350016343|-0.002772250211607826|0.010269984100700728|-0.0006013989102729451|0.05186495379196477|0.07539872897794175|-0.003976233765794338|0.008571867337212056|0.009511446199371058|-0.012458493307477938|0.0029659408449022305|-0.003869583954504821|0.001168199777580575|-0.0032849847210040684|0.0035349262726461633|-0.012642283769099203|0.004217271616623074|-0.01484645958140901|0.03622199673351004|0.024258300199458214|-0.03243875763076954|0.04772295342514327|0.0012064948927466063|-0.0006758750204237911|0.013630126632299308|0.0013928827772146548|-0.006700385033194079|-0.011828795558353835|-0.0018549177477188573|0.00022518848805434238|-0.06601986079120621|-0.009482637878702531|0.07530309109844871|-1.8196262656064351e-06|-0.0027733368897679732|0.029422754041752108|0.011503426979941096|-0.00041443915632204483|-0.1538550373891086|-0.0042901187439296756|0.005409380754952148|-0.04866095325536243|-0.007787731930762671|-0.0016825702033271585|0.0076406023625323225|0.002535812118415513|0.004537647953514373|0.006653659011722196|0.01680862374133075|-0.0007902039416903041|0.010146421455641116|0.05946891447241824|0.032586978217679814|0.006532407611701367|0.00530524164988859|-0.0755738297280115|0.0010224317053684254|0.0007366967891712995|-0.007637459074806796|-0.0017920348556654331|0.003952354383087226|0.0005617590033835344|-0.004627366434871695|-0.007937997418485497|0.05679318663048912|-0.004142831647294917|-0.07134726224305707|0.001009597426419859|-0.002403894949925438|-0.0033291153250990125|-0.0013043125161429077|0.005753357753563046|0.003984165222810933|0.0050567272989195935|0.006537468899511336|0.010112437701078949|0.04499073484417457|-0.004372387112165501|-0.0016130875449644534|0.0027706744023474387|-0.0021490270386230912|0.007123130086504229|-0.0050982563675972346|-0.0014876072064695543|-0.05448718009686336|0.00324012882890369|-0.0037177651252267943|-0.0009727033418261466|0.002220209624913803|0.012548412924977565|-0.04974146060656718|0.016997184755111052|0.0005796994693297772|-0.010592798989121842|0.0008024722190396663|0.08552547402727569|0.03986676409890347|0.04572269681391532
2500,-2,0.01,4,0.001,3000,1,1,2500,-2,0.01,4,0.001,107745.133323078,3000,48691,1,1,0.11418510701266031|0.5303726039276025|-0.13838707633791622|-0.35807065264940413|0.4657199791364364|-0.14085811764039927|-0.009951743656828037|-0.437814335822831|0.34166730939994205|0.04709785910592985|-0.06931044740428915|-0.21819005212136008|-0.03817979677579023|0.3130255806024076|-0.007323875230187219|-0.36647957081901017|-0.16378349462040198|-0.5099509790091629|0.04847574187394512|0.003940667293426282|0.1479769096364222|-0.0013002535311853092|0.04392123804702301|-0.15968024899126645|-0.039853571534313056|-0.0012555246152691118|0.23808662775475878|-0.0020232823326204142|0.03812062422967951|0.029813108326535942|0.036294627201174684|0.002410677757726607|0.02313954685311266|-0.08268130782025757|0.027767859104474324|-0.04569276413292066|0.07596597209498557|-0.10480977670761644|0.05965949569331593|0.20815779553281116|0.10328106081465488|0.3210618358302975|-0.08164170302883779|0.014903622198935557|0.016009170636715225|-0.17243843188362656|-0.02249167744048073|0.010936252094565398|0.003520693452174426|-0.041383184723463015|0.005412941839595348|0.005568372979453156|0.02102177744824293|-0.003254048985220453|0.0270713633075639|0.02661101067563157|0.03160371489659293|-0.049692092349782176|0.48633697563344785|-0.009124705300032922|-0.07327873427527193|0.01743625010149193|-0.03915981977995822|0.05014102098435506|-0.0011618189115946242|-0.009851863634793151|-0.018870391370099996|0.005341983090518646|0.006090467567462494|0.11150911906799543|-0.0054832317056933665|-0.05966252506594901|-0.06745324364454611|-0.08172751940874234|0.03254320555759266|0.017222726951219014|-0.014045490028863754|0.029245290451402527|-0.11105850814496271|0.0947802403779579|0.003460194701821484|0.011184661360648145|0.1331163637784694|0.01285470613130788|-0.012506581476864143|0.03407530612125475|-0.0022913784438852772|-0.007923671620935161|-0.11651050661481695|-0.025489490601014037|0.03514153034917742|0.05271826614796356|0.09210709986260598|0.15466618817095437|0.02671276840838663|0.0017077026271291968|-0.0026485612830157586|0.07944509731302936|0.006892155789272657|-0.005776667610870268|0.32382719601311344|-0.00729616240428169|0.02211016552114804|0.08325217143907779|0.016996546360052423|-0.035476271476406064|0.006726779069043882|0.07558367673478378|-0.017511281232388775|0.003338520530910253|0.0012610497157560336|0.02662243621667993|0.008611780607163335|-0.0027581161308262315|0.01364803935485857|-0.0008301167200203714|0.05699146415087138|0.08103125726186292|-0.006980392864094397|0.008782218347361544|0.012549297353539783|-0.01594227167294367|0.0031232500430336883|-0.004399793452130052|0.00044719167943126764|-0.00379695509176283|0.003973978081965245|-0.013839957571824628|0.004689516781948436|-0.017558687006367223|0.038717384309798805|0.026564500895347887|-0.036078050334691227|0.04970752612331338|0.0013100152919485123|-0.00046903376981410693|0.015431481183948215|0.0014519385055592293|-0.00750524980638753|-0.012037550757614784|-0.0020147415314546403|-0.0009726587538135745|-0.07233754648973804|-0.010504467249738088|0.08526765061484816|-0.000391119547190597|-0.0032033543402995475|0.035097051092293954|0.012518482395108423|-0.00022080002587447|-0.16949007524722487|-0.004825509115954726|0.006826673851126277|-0.05105119425811607|-0.0072487867746781525|-0.001990898622365767|0.008454145447503293|-0.0033401152131752065|0.005202815320388986|0.0071387606933313455|0.015447427025888315|-0.0011008343188789696|0.01020125605678573|0.06501249929594943|0.03508779897244578|0.007196545682649942|0.005569844847988362|-0.09048652763736836|0.0014656866901119128|0.000728249747855189|-0.00831526089531488|-0.0019996462048856656|0.00426011149345277|0.0005133903144974128|-0.0051970996473097485|-0.008900096610596755|0.06013131388693372|-0.00479460982802469|-0.08000503709223843|0.0012768499347015647|-0.0027523075598328145|-0.0037684441222018052|-0.0016565947197877725|0.006513588017570635|0.002620266676249331|0.005905917747496882|0.00624392977904654|0.013356205688618141|0.05140145778921246|-0.004833470651980645|-0.0021348221848032133|0.0033468411204680454|-0.0023313270111356916|0.00751644006614634|-0.005852167970148645|-0.0012072919529904408|-0.048363595485519224|0.0036006359378238885|-0.004239037375958901|-0.0010439344803641589|0.0025993928177923124|0.013867635313911785|-0.05301872226230252|0.02073026070021268|0.00041541449971550147|-0.011653267955968967|0.0009045866836811817|0.09304939046276357|0.042724003947920454|0.048405108628863665
2500,-2,0.001,4,0.01,3000,1,1,2500,-2,0.001,4,0.01,122863.92438243696,3000,57108,1,1,0.0480965354644531|0.24226535236361213|-0.012273584780915558|-0.08255063553462426|0.19116112006821126|-0.07673828036750201|-0.01691388340933155|-0.08861976373630416|0.14734697733618837|0.011841541801545494|-0.015363955950198049|-0.09086456236944088|0.003404332289756196|0.13984276478538582|0.02032157900878606|-0.16636408669813812|-0.029041622628106795|-0.18448549366110778|-0.031405127087148925|0.0014219078696148981|0.09432575438588761|0.0017363012733889861|0.03962595666566343|-0.007447926003076411|-0.00934533277153373|-0.0001708077401838442|0.12479439773609352|-0.0009412805852601929|0.04071931039983812|0.02400975184483577|-0.006560982711494019|-0.003978255192096179|0.035340606146015294|-0.06659471911499788|0.030619225782660627|-0.06349264152925313|0.042265020279119755|-0.06674450106651812|0.01836272843551484|0.047683056031165766|-0.02090562204065304|0.07633014088455363|-0.05005046772588935|-0.021574743707600107|-0.003685486217838699|-0.04458800763918472|0.0032316826096210195|0.0036372511067775818|6.7199120131111766e-06|-0.011566339999685473|0.001738348424057381|0.0011076800060908834|0.005466640572778501|0.0005087379924116397|-0.01920016640702276|-0.013849770310763993|-0.02339730126819646|-0.010706949926457005|0.18058504837712677|-0.00610886095813147|-0.005472114860496906|0.009984213277667743|-0.003416991804697359|0.01781750754852202|0.0014991698049327024|-0.002540880302911451|0.025437328941007642|0.00145773138521437|0.0018869820633449913|0.027724585126800587|-0.0007319470756321819|-0.008778373755987225|-0.010707207746027824|-0.015048944979759664|0.033852829594511136|0.017549597279287888|-0.0037333612651179755|-0.005281486163514635|-0.01788310925054633|0.019592355313932528|0.0014285321096296777|0.0012367121439764018|0.006497089333978895|0.002804397567050392|-0.0016033865509384217|-0.017890029570491947|0.0004583006782488605|0.0057679391586933|-0.014331300516464451|-0.005154477776297884|0.012880982770533171|0.03430959501257585|0.03740771225809621|0.036601048498815576|0.020238316533849172|0.0008684021604279637|-0.001823648857894414|0.05748314225713777|0.0015486350154749191|-0.001135718665619473|0.06666832739202116|-0.0017293844671264946|0.020326314514760205|0.02012352219244864|0.02092258122442128|0.005268629719644342|-0.001026528245223995|0.030471172471090935|-0.0029435236994286244|0.0028716170281433786|-0.0010257978374602218|-0.0004235376163944802|0.005163482277580528|-0.0008838456750287809|-0.009525551505019575|0.0003048556953469828|0.024745550634884345|0.03147400305367125|0.013785496698778906|3.3677982489742926e-05|-0.0023550204265272937|0.008092555728987564|0.001502231656615257|-0.000949045815259083|0.0037121490640975225|0.0005600068094771156|0.0009086690009589353|-0.006343020917527459|0.0007583104355757132|0.013567332217845885|0.020561921341605657|0.01275218250551453|-0.008304236085109606|0.02985982869583516|0.001479552034819727|-0.0021253296861113483|0.0003639628527702291|0.001130043784518985|-0.0013808546605687247|-0.016823134838761526|-0.00022618913934754412|0.0018217317285915131|-0.015996508915674664|-0.00707759291299374|0.015461852556444139|0.0015118922757482254|-0.0005988479301618821|0.003339093620501191|0.004851574920693853|-0.0013202880185368981|-0.04350123578434819|-0.0018111740328614527|0.0015310442780516898|-0.022668234290140754|-0.006997460939843577|-0.0001623438336125772|0.0017581453843895816|0.033622154481317695|0.00017338392639656386|0.002656507457329743|0.02082866898551011|0.001526584922595538|0.009002664935156427|0.01795644748296115|0.015946461725321655|0.0010245338122465417|0.0019265420573801007|0.01990996908730209|-0.0007150556506969559|0.002071360929853128|-0.0032240219070648643|0.00035333683687417564|0.002411329421708557|0.0010100249696675483|-0.0022043594244077476|-0.001959501615339175|0.031145966507193465|-0.0007521115292788805|-0.00918045674183057|-0.00030145930821961705|-0.0005418004035549427|-0.0007625107491874116|0.0001792275628611604|0.0018035689098845232|-0.004771708223788916|0.0017817519123837725|0.008191408817391181|-0.0016078226380084521|0.0037545274440747662|-0.0016019130225500232|0.00048603507039914203|-0.0005950868336026486|0.0006328074206469466|0.00431533196372829|0.0005477820413342431|-0.002192383527656518|-0.10246027517419179|0.0011920978854694933|-0.0005325527733457304|-0.00023287350845116212|-0.00042614424657789373|0.0033449647768983687|-0.020639146116584312|-0.0066817871095483155|0.0010822286066322193|-0.003032021253455705|-0.00025909745681292767|0.03431620787157283|0.02302125273801582|0.024125576296669945
2500,3,0.01,4,0.01,1000,1,1,2500,3,0.01,4,0.01,118430.70412844059,1000,56929,1,1,0.06407680411003576|0.4689450681554806|-0.05444334263752192|-0.012531027072055364|-0.11526212481186952|0.44122928308545856|-0.037265145594177936|-0.12685203273670548|-0.11245314799960497|-0.00442688033212694|-0.1539416805850899|0.24208287185649596|-0.14451915259928144|0.08501584310546105|0.017852704653131147|-0.014448762686455128|-0.1573382082048851|0.04953060584189403|-0.008480261998508773|0.25119254041968186|-0.08583087005933249|0.019945651962173367|-0.12270172926422016|-0.04926561347142038|-0.12701022760059638|-0.3647006161033623|0.04400844314477609|-0.003319348764541687|0.002213880509723084|0.12886654663310892|-0.0006325541952165384|0.0032833862221316704|0.03343625953759258|-0.0010514352262993602|-0.0628503962108418|-0.00954019232268031|-0.0045305066466001945|-0.0036185568668832754|0.19501032199674057|0.0013727445937345491|-0.0017189593870337442|0.033204270371903585|0.00015082326507825057|0.03292423573835658|-0.13499636007271218|0.018831755613487735|-0.0038607015841319713|0.016984642258090807|0.00031598574133808843|-0.07865968934542338|0.10517084481547549|-0.005261840410607507|-0.0652968832421602|0.022636561942583188|0.07286081287776384|-0.0984154697893865|0.016849007549040725|0.006506853823953876
2500,3,0.01,4,0.001,1000,1,1,2500,3,0.01,4,0.001,118018.27230275064,1000,56750,1,1,0.065183678180279|0.4852609277827376|-0.05618579166588812|-0.013576696274626217|-0.11930920049398072|0.4587510209128697|-0.040366941085478156|-0.13066786051904847|-0.11819490566602173|-0.003619442993267699|-0.16045834064515607|0.2508733970921031|-0.14890294303598145|0.08872694542519545|0.01743064792846333|-0.014800047993543133|-0.16254426449814868|0.05066130480795644|-0.00869685989172598|0.2597294782802058|-0.08906614011656067|0.02022646103196908|-0.12413044876479717|-0.05227737068520585|-0.12797252797224487|-0.37767274784020216|0.04614304409732672|-0.0031403542817539415|0.002276364243945481|0.13121361676230975|-0.0006764280773387332|0.003393689949534739|0.03326100299183862|-0.0010996092017562216|-0.06634735452767719|-0.010308093646481165|-0.004232984396073241|-0.0037425222924534185|0.19990451100419107|0.001441139059347961|-0.0017772038410355988|0.03294751951603315|0.0002361926956878936|0.0343225588141404|-0.1402166523400656|0.01975046940693789|-0.003908799858754876|0.016156922803052545|0.0004795505900663132|-0.08035620664252403|0.10811422420222806|-0.00559916473993061|-0.06655620028680866|0.021082277778834063|0.0758025298294602|-0.10116624543357826|0.01644784866618189|0.006650672610273608
2500,3,0.001,4,0.01,1000,1,1,2500,3,0.001,4,0.01,137989.44663277577,1000,69801,1,1,0.04469400035316921|0.10787770936613596|0.0041734702397657674|0.020189686805713338|-0.03141277846115153|0.10457793113658127|0.031035352106257862|-0.04835102731417258|0.001304376782408578|-0.025509708398375894|-0.027621669046079336|0.08743189605145055|-0.07056004690618564|0.004468857190342253|0.02526118112700747|-0.005518573088762534|-0.04955071724081376|0.02857537913431653|-0.002919897063847828|0.0562523707231399|-0.004621894072951307|0.013920475742388513|-0.07522730067912538|0.017200121250551294|-0.08396095170208787|-0.08306473241947841|0.011002638462232065|-0.01020387235801817|6.53914408380767e-05|0.07387127585508996|0.00013651551062114465|0.0011173801512694853|0.04151745190058037|0.001060378996248328|-0.006822494696579458|0.010283892987427132|-0.012004142683681239|-0.0009076808192198404|0.08661884080113326|0.0009563030777558975|-0.0003553072263081725|0.041946713757207585|-0.00159922928212199|0.0008142622871152306|-0.016298030960992745|-0.00014309777974079837|-0.002063271794411538|0.039168109890800246|-0.0016503774494751597|-0.03974221581874575|0.04458466673757132|0.001538814050929876|-0.03801957288817325|0.047112505680565124|0.0015167084834569631|-0.04061919584761619|0.0256144349904836|0.006521962214175464
2500,3,0.001,4,0.001,1000,1,1,2500,3,0.001,4,0.001,137936.62634628173,1000,69781,1,1,0.04481860989301681|0.1083295153537488|0.004119159853693471|0.02018344457872997|-0.03155035085703596|0.10497298278826299|0.031097940442499042|-0.04853222356297759|0.001283294679797262|-0.025554824275300005|-0.02775250749348952|0.08774694801349664|-0.0708638248611465|0.004502081087855051|0.025322660409894934|-0.00556592103096207|-0.04974316234424588|0.028664232153690933|-0.002933855336540747|0.05649535615020421|-0.0046907959032266005|0.013930297998637922|-0.07551986548661734|0.01720874949566746|-0.08429455696848583|-0.08341359653559144|0.011024677813205265|-0.010211617720487913|6.567677361493107e-05|0.07411146781408119|0.00013680286398517629|0.0011216019575633095|0.041625686749979955|0.0010636527554505454|-0.006848180672546462|0.01029544045796982|-0.012023895059431166|-0.0009108699794191262|0.08691442859491295|0.0009612758018930909|-0.0003556710965384137|0.04205575509822835|-0.0016004297855576129|0.0008304247116998483|-0.016402188001002984|-0.00012749460140001325|-0.0020706734942916834|0.039264140972639514|-0.0016555006028481688|-0.03989091488064669|0.044732633239521674|0.0015405336914656644|-0.038160322873716665|0.04725074199669429|0.0015237656937494841|-0.04077173960094654|0.02568090687317871|0.006521264706269965
