degree,k_fold,lambda,seed,mse_te,mse_tr
10,4,7.742636826811277e-06,0,0.29488970859138763,0.29433017640827513
10,4,2.782559402207126e-06,0,0.29488617488676105,0.2943225300333019
10,4,3.5938136638046256e-05,0,0.2948893803099658,0.2943434070756676
10,4,5.994842503189409e-05,0,0.29489057223755394,0.29435191760191204
11,4,1.6681005372000591e-06,0,0.2945257392204652,0.29390745440945415
11,4,7.742636826811277e-06,0,0.29452433642809056,0.29391416763026756
11,4,1.2915496650148827e-05,0,0.2945252542752075,0.29391955759237753
13,4,1e-06,0,0.2943545757006078,0.2936486268006455
13,4,1.6681005372000591e-06,0,0.29426171229524734,0.29356152815877007
13,4,3.5938136638046256e-05,0,0.29418993666241405,0.2935275070136002
13,4,0.0001,0,0.29421487581809336,0.29357248472798514
10,4,1.6681005372000591e-06,0,0.29488435125942547,0.29431938745491626
10,4,1e-06,0,0.2948831454017431,0.2943171734053869
10,4,1.2915496650148827e-05,0,0.29489025068498215,0.29433397754972207
10,4,0.0001,0,0.2948960870854663,0.29436609021941823
11,4,2.1544346900318823e-05,0,0.29452729070198114,0.2939273241693931
11,4,1e-06,0,0.294526702795595,0.2939066528328052
11,4,0.0001,0,0.29455084427069633,0.29397609185816653
11,4,3.5938136638046256e-05,0,0.29453097975384024,0.2939381006401298
11,4,5.994842503189409e-05,0,0.29453780476906083,0.29395335350384644
12,4,1.6681005372000591e-06,0,0.2945083809353972,0.2938366472526684
12,4,2.782559402207126e-06,0,0.2945063831836009,0.29383796115567273
12,4,1e-06,0,0.29451009328950584,0.293835872458285
12,4,7.742636826811277e-06,0,0.2945030599267424,0.29384441889110574
12,4,2.1544346900318823e-05,0,0.2945056851133541,0.2938606015495963
12,4,5.994842503189409e-05,0,0.2945218921440873,0.2938943302361428
13,4,2.1544346900318823e-05,0,0.29419234723993026,0.2935220770564676
13,4,2.782559402207126e-06,0,0.2942855682446032,0.2935958022048436
13,4,1.2915496650148827e-05,0,0.2942069365249983,0.2935307717058746
13,4,4.641588833612782e-06,0,0.2942343403437496,0.29354631864241004
