batch_size,degree,gamma,k_fold,lambda,max_iters,num_batches,seed,batch_size,degree,err,gamma,k_fold,lambda,max_iters,num_batches,seed,w
2500,1,0.01,4,0,30,1,1,2500,1,172990.08696124953,0.01,4,0,30,1,1,0.04584314348363516|0.04754276771994436|0.0009543097379359771|-0.023969533690833923|-0.00334497973792637|0.004302778100721903|-0.018291405632192483|0.02715596000926453|-0.03475268783910614|-0.032995041633661425|0.0004028360452102118|0.0003042657346411374|0.004700813856069152|0.00015911265623744456|0.0003814334009523447|-0.0012068398282939136|-0.0017611342412028074|-0.015723800077604197|-0.01559199893906198|-0.016494453922530634
2500,1,0.001,4,0,30,1,1,2500,1,173257.03396427777,0.001,4,0,30,1,1,0.004735579059204575|0.005079548912930929|0.00011652131792325156|-0.002780722469662779|-0.00015250918766015632|0.0002985635459655311|-0.0022046053873585555|0.0029115449309981122|-0.003818680082766129|-0.003607393410411288|4.1600167566157e-05|3.087606408467389e-05|0.00047370363843394743|1.0827412649023267e-05|4.0692675192929354e-05|-0.00028287032282864387|-0.00019118156155490366|-0.001941080274012303|-0.0018943290760675745|-0.002029155483888365
2500,1,0.01,4,0,3000,1,1,2500,1,130839.77605901047,0.01,4,0,3000,1,1,0.8173411885535976|0.6710704705938035|0.3078721474209989|-0.19902407740084208|-0.5016437229828902|0.1529236558120248|-0.0293438976308588|0.24864023421196413|-0.3120355173774602|-0.4371216473321463|0.005538911467868138|0.0038107945382548237|-0.2780047401693358|0.0029071991776359403|-0.007916670297338403|-0.06184652128195806|-0.0032149214002595607|0.09273107244022488|-0.04539142424863532|0.06242518243789276
